Kwh							
Time 	SMNEM21P	SMNEM21P	SMNEM21P	SMNEM21P	SMNEM21P	SMNEM21P	SMNEM21P
 8/20/23 00:15	0	526	13393.2	0	0	0	55
00:30	0	526	13438.2	0	0	0	55
00:45	0	525	13479.4	0	0	0	55
01:00	0	527	13499.6	0	0	0	53
01:15	0	526	13375.2	0	0	0	56
01:30	0	526	13393.3	0	0	0	56
01:45	0	525	13332.7	0	0	0	57
02:00	0	529	13437.4	0	0	0	52
02:15	0	529	13481.8	0	0	0	50
02:30	0	528	13505.6	0	0	0	51
02:45	0	528	13473.6	0	0	0	53
03:00	0	526	13413.7	0	0	0	56
03:15	0	526	13437.1	0	0	0	55
03:30	0	526	13467.8	0	0	0	55
03:45	0	526	13413.2	0	0	0	56
04:00	0	526	13403.8	0	0	0	57
04:15	0	526	13417.2	0	0	0	56
04:30	0	526	13430.1	0	0	0	56
04:45	0	526	13440.6	0	0	0	56
05:00	0	526	13448.6	0	0	0	56
05:15	0	526	13458.6	0	0	0	56
05:30	0	526	13470	0	0	0	56
05:45	0	526	13481	0	0	0	55
06:00	0	526	13485.4	0	0	0	56
06:15	0	526	13481.2	0	0	0	55
06:30	0	526	13482.5	0	0	0	55
06:45	0	527	13494.1	0	0	0	56
07:00	0	526	13481	0	0	0	56
07:15	0	526	13478.4	0	0	0	55
07:30	0	526	13476.5	0	0	0	56
07:45	0	526	13493.8	0	0	0	57
08:00	0	526	13489.7	0	0	0	57
08:15	0	527	13459.8	0	0	0	58
08:30	0	525	13411.1	0	0	0	59
08:45	0	527	13524	0	0	0	57
09:00	0	526	13482.9	0	0	0	58
09:15	0	526	13428.2	0	0	0	58
09:30	0	527	13517.7	0	0	0	56
09:45	0	527	13489.4	0	0	0	56
10:00	0	526	13551.6	0	0	0	54
10:15	0	527	13470.7	0	0	0	56
10:30	0	526	13444.5	0	0	0	56
10:45	0	526	13551.5	0	0	0	55
11:00	0	527	13532.2	0	0	0	56
11:15	0	527	13518.1	0	0	0	55
11:30	0	527	13525.3	0	0	0	55
11:45	0	526	13508.6	0	0	0	56
12:00	0	527	13447.9	0	0	0	56
12:15	0	522	13431.1	0	0	0	52
12:30	0	508	13409.1	0	0	0	44
12:45	0	510	13405.4	0	0	0	48
13:00	0	523	13413	0	0	0	59
13:15	0	522	13413.6	0	0	0	59
13:30	0	525	13413.8	0	0	0	59
13:45	0	524	13414.6	0	0	0	59
14:00	0	524	13419.6	0	0	0	59
14:15	0	524	13459.5	0	0	0	59
14:30	0	526	13515.9	0	0	0	56
14:45	0	526	13536.5	0	0	0	54
15:00	0	527	13562.8	0	0	0	53
15:15	0	526	13549.7	0	0	0	54
15:30	0	527	13542.7	0	0	0	54
15:45	0	527	13543.8	0	0	0	54
16:00	0	526	13543.5	0	0	0	54
16:15	0	528	13549.8	0	0	0	54
16:30	0	519	13501.8	0	0	0	49
16:45	0	511	13501.9	0	0	0	41
17:00	0	510	13492.5	0	0	0	41
17:15	0	523	13490.2	0	0	0	51
17:30	0	526	13476.8	0	0	0	55
17:45	0	526	13450.5	0	0	0	55
18:00	0	526	13484.6	0	0	0	54
18:15	0	526	13584.1	0	0	0	53
18:30	0	527	13608.2	0	0	0	52
18:45	0	525	13536	0	0	0	52
19:00	0	518	13583.1	0	0	0	45
19:15	0	507	13633.8	0	0	0	42
19:30	0	489	13654.3	0	0	0	70
19:45	0	494	13638.3	0	0	0	81
20:00	0	481	13603.3	0	0	0	75
20:15	0	478	13576.6	0	0	0	68
20:30	0	493	13593.2	0	0	0	81
20:45	0	500	13675.5	0	0	0	80
21:00	0	499	13669.3	0	0	0	81
21:15	0	501	13664.5	0	0	0	81
21:30	0	497	13657	0	0	0	80
21:45	0	496	13660.9	0	0	0	80
22:00	0	499	13677.5	0	0	0	80
22:15	0	499	13692.3	0	0	0	81
22:30	0	496	13709	0	0	0	79
22:45	0	496	13651.1	0	0	0	81
23:00	0	496	13618.7	0	0	0	81
23:15	0	499	13551.8	0	0	0	83
23:30	0	498	13402.7	0	0	0	85
23:45	0	502	13448	0	0	0	85
 8/20/23 24:00	0	501	13471.5	0	0	0	85
