Kwh							
Time 	SMNEM23P	SMNEM23P	SMNEM23P	SMNEM23P	SMNEM23P	SMNEM23P	SMNEM23P
 8/20/23 00:15	0	415	13584.3	0	0	29	0
00:30	0	415	13625.5	0	0	30	0
00:45	0	414	13664.6	0	0	30	0
01:00	0	414	13654.7	0	0	29	0
01:15	0	416	13548.7	0	0	29	0
01:30	0	415	13569.1	0	0	29	0
01:45	0	415	13513.1	0	0	28	0
02:00	0	412	13629.8	0	0	26	0
02:15	0	413	13650	0	0	27	0
02:30	0	412	13677.9	0	0	27	0
02:45	0	414	13621.1	0	0	29	0
03:00	0	416	13602	0	0	31	0
03:15	0	415	13626.4	0	0	30	0
03:30	0	415	13651.6	0	0	31	0
03:45	0	415	13576	0	0	30	0
04:00	0	415	13586.6	0	0	30	0
04:15	0	415	13600.9	0	0	31	0
04:30	0	415	13617.4	0	0	31	0
04:45	0	415	13627	0	0	31	0
05:00	0	415	13635.9	0	0	30	0
05:15	0	415	13640.7	0	0	30	0
05:30	0	416	13651.5	0	0	31	0
05:45	0	415	13659.4	0	0	31	0
06:00	0	414	13668	0	0	32	0
06:15	0	415	13660	0	0	31	0
06:30	0	415	13661.7	0	0	32	0
06:45	0	414	13676	0	0	32	0
07:00	0	415	13661.9	0	0	32	0
07:15	0	415	13658.2	0	0	31	0
07:30	0	415	13661.9	0	0	31	0
07:45	0	415	13682.2	0	0	33	0
08:00	0	414	13672.9	0	0	34	0
08:15	0	415	13637.1	0	0	32	0
08:30	0	415	13619.8	0	0	32	0
08:45	0	414	13712.5	0	0	34	0
09:00	0	415	13661.7	0	0	33	0
09:15	0	415	13628.1	0	0	34	0
09:30	0	414	13706.4	0	0	34	0
09:45	0	415	13692.4	0	0	35	0
10:00	0	414	13715	0	0	34	0
10:15	0	415	13646.6	0	0	32	0
10:30	0	414	13652.2	0	0	33	0
10:45	0	415	13730.9	0	0	34	0
11:00	0	414	13713.5	0	0	34	0
11:15	0	415	13704.9	0	0	33	0
11:30	0	414	13709	0	0	33	0
11:45	0	415	13681.3	0	0	34	0
12:00	0	414	13630.4	0	0	32	0
12:15	0	424	13580.4	0	0	24	0
12:30	0	433	13546.3	0	0	19	0
12:45	0	428	13568.7	0	0	25	0
13:00	0	419	13606.1	0	0	35	0
13:15	0	418	13613.1	0	0	35	0
13:30	0	417	13609.1	0	0	35	0
13:45	0	417	13614.5	0	0	36	0
14:00	0	418	13622.4	0	0	36	0
14:15	0	417	13669.8	0	0	36	0
14:30	0	415	13706	0	0	33	0
14:45	0	415	13723.3	0	0	34	0
15:00	0	415	13742.6	0	0	34	0
15:15	0	414	13728.6	0	0	34	0
15:30	0	415	13723.1	0	0	34	0
15:45	0	415	13723.4	0	0	34	0
16:00	0	415	13724.3	0	0	33	0
16:15	0	414	13725	0	0	34	0
16:30	0	426	13644.4	0	0	23	0
16:45	0	430	13632.7	0	0	18	0
17:00	0	430	13621.1	0	0	18	0
17:15	0	416	13666.4	0	0	32	0
17:30	0	416	13652.6	0	0	33	0
17:45	0	415	13637.2	0	0	32	0
18:00	0	415	13663.9	0	0	32	0
18:15	0	415	13791.6	0	0	34	0
18:30	0	416	13764.2	0	0	32	0
18:45	0	415	13721.4	0	0	31	0
19:00	0	425	13709.4	0	0	21	0
19:15	0	417	13765.3	0	0	8	3
19:30	0	403	13791.2	0	0	0	9
19:45	0	379	13802.6	0	0	3	1
20:00	0	386	13734.6	0	0	2	8
20:15	0	393	13698.9	0	0	0	10
20:30	0	381	13788.6	0	0	3	1
20:45	0	387	13845.8	0	0	2	0
21:00	0	384	13833.4	0	0	2	0
21:15	0	388	13832.7	0	0	1	1
21:30	0	383	13821.4	0	0	2	0
21:45	0	384	13834.8	0	0	2	0
22:00	0	384	13848.2	0	0	3	0
22:15	0	388	13868.8	0	0	2	0
22:30	0	379	13879.8	0	0	4	0
22:45	0	383	13794.9	0	0	3	1
23:00	0	385	13799	0	0	2	0
23:15	0	386	13673.4	0	0	2	1
23:30	0	389	13584.4	0	0	0	2
23:45	0	391	13634.8	0	0	0	3
 8/20/23 24:00	0	388	13630.8	0	0	1	1
