Kwh							
Time 	SMNEM22P	SMNEM22P	SMNEM22P	SMNEM22P	SMNEM22P	SMNEM22P	SMNEM22P
 8/20/23 00:15	0	985	13502.3	0	0	0	43
00:30	0	984	13553.7	0	0	0	44
00:45	0	982	13593.6	0	0	0	45
01:00	0	989	13563.3	0	0	0	58
01:15	0	985	13490.1	0	0	0	44
01:30	0	985	13506.9	0	0	0	44
01:45	0	984	13450.1	0	0	0	44
02:00	0	987	13430.1	0	0	0	72
02:15	0	987	13455.7	0	0	0	77
02:30	0	987	13483.9	0	0	0	78
02:45	0	986	13512.2	0	0	0	64
03:00	0	981	13539	0	0	0	45
03:15	0	979	13561	0	0	0	46
03:30	0	982	13586.5	0	0	0	46
03:45	0	979	13534.6	0	0	0	46
04:00	0	980	13531.3	0	0	0	45
04:15	0	978	13546.4	0	0	0	46
04:30	0	981	13556.1	0	0	0	46
04:45	0	978	13568.1	0	0	0	47
05:00	0	976	13572.4	0	0	0	47
05:15	0	978	13586.9	0	0	0	46
05:30	0	979	13592.6	0	0	0	48
05:45	0	982	13602.2	0	0	0	47
06:00	0	977	13613.8	0	0	0	47
06:15	0	977	13606.8	0	0	0	48
06:30	0	974	13614.9	0	0	0	47
06:45	0	971	13614	0	0	0	52
07:00	0	976	13609.1	0	0	0	49
07:15	0	977	13603.8	0	0	0	48
07:30	0	977	13599.2	0	0	0	49
07:45	0	980	13621.6	0	0	0	51
08:00	0	979	13614.5	0	0	0	52
08:15	0	981	13583.1	0	0	0	51
08:30	0	980	13566.3	0	0	0	43
08:45	0	980	13644.6	0	0	0	53
09:00	0	979	13605.6	0	0	0	52
09:15	0	980	13579.4	0	0	0	42
09:30	0	984	13635.6	0	0	0	49
09:45	0	984	13605.4	0	0	0	49
10:00	0	985	13665.4	0	0	0	49
10:15	0	986	13580.3	0	0	0	49
10:30	0	988	13560	0	0	0	46
10:45	0	989	13652.9	0	0	0	49
11:00	0	987	13636	0	0	0	50
11:15	0	987	13628.6	0	0	0	46
11:30	0	985	13637.8	0	0	0	48
11:45	0	985	13623.3	0	0	0	48
12:00	0	984	13564.6	0	0	0	46
12:15	0	927	13515.9	0	0	0	50
12:30	0	780	13536.8	0	0	0	31
12:45	0	808	13594.6	0	0	0	20
13:00	0	964	13650.4	0	0	0	19
13:15	0	965	13656.8	0	0	0	17
13:30	0	977	13651.4	0	0	0	16
13:45	0	976	13657.2	0	0	0	17
14:00	0	975	13664.2	0	0	0	16
14:15	0	975	13704.8	0	0	0	16
14:30	0	980	13669.6	0	0	0	36
14:45	0	983	13637.5	0	0	0	50
15:00	0	982	13667.8	0	0	0	49
15:15	0	980	13656	0	0	0	51
15:30	0	982	13643.2	0	0	0	51
15:45	0	981	13643.7	0	0	0	51
16:00	0	981	13642.6	0	0	0	52
16:15	0	976	13641	0	0	0	54
16:30	0	891	13588	0	0	0	51
16:45	0	777	13545.6	0	0	0	54
17:00	0	779	13535.7	0	0	0	53
17:15	0	928	13585	0	0	0	51
17:30	0	963	13583.1	0	0	0	50
17:45	0	964	13554.8	0	0	0	49
18:00	0	962	13581.6	0	0	0	54
18:15	0	961	13693.9	0	0	0	49
18:30	0	962	13702.5	0	0	0	52
18:45	0	964	13635.3	0	0	0	47
19:00	0	872	13641.6	0	0	0	50
19:15	0	780	13666.4	0	0	0	50
19:30	0	825	13692.3	0	0	0	52
19:45	0	975	13724.6	0	0	0	49
20:00	0	897	13665.1	0	0	0	51
20:15	0	793	13602.8	0	0	0	53
20:30	0	966	13675.9	0	0	0	47
20:45	0	976	13764.7	0	0	0	49
21:00	0	977	13748.8	0	0	0	48
21:15	0	976	13748.9	0	0	0	47
21:30	0	978	13740.1	0	0	0	48
21:45	0	976	13751.6	0	0	0	47
22:00	0	976	13763.6	0	0	0	50
22:15	0	974	13776.9	0	0	0	49
22:30	0	975	13797	0	0	0	47
22:45	0	979	13734.8	0	0	0	49
23:00	0	979	13705.9	0	0	0	49
23:15	0	978	13638.8	0	0	0	50
23:30	0	978	13498	0	0	0	46
23:45	0	981	13537.7	0	0	0	50
 8/20/23 24:00	0	978	13560.5	0	0	0	49
