SMNEM23P	Kwh	
Fecha	CANAL 1	CANAL 2
20/08/2023 00:15	0	415
20/08/2023 00:30	0	415
20/08/2023 00:45	0	414
20/08/2023 01:00	0	414
20/08/2023 01:15	0	416
20/08/2023 01:30	0	415
20/08/2023 01:45	0	415
20/08/2023 02:00	0	412
20/08/2023 02:15	0	413
20/08/2023 02:30	0	412
20/08/2023 02:45	0	414
20/08/2023 03:00	0	416
20/08/2023 03:15	0	415
20/08/2023 03:30	0	415
20/08/2023 03:45	0	415
20/08/2023 04:00	0	415
20/08/2023 04:15	0	415
20/08/2023 04:30	0	415
20/08/2023 04:45	0	415
20/08/2023 05:00	0	415
20/08/2023 05:15	0	415
20/08/2023 05:30	0	416
20/08/2023 05:45	0	415
20/08/2023 06:00	0	414
20/08/2023 06:15	0	415
20/08/2023 06:30	0	415
20/08/2023 06:45	0	414
20/08/2023 07:00	0	415
20/08/2023 07:15	0	415
20/08/2023 07:30	0	415
20/08/2023 07:45	0	415
20/08/2023 08:00	0	414
20/08/2023 08:15	0	415
20/08/2023 08:30	0	415
20/08/2023 08:45	0	414
20/08/2023 09:00	0	415
20/08/2023 09:15	0	415
20/08/2023 09:30	0	414
20/08/2023 09:45	0	415
20/08/2023 10:00	0	414
20/08/2023 10:15	0	415
20/08/2023 10:30	0	414
20/08/2023 10:45	0	415
20/08/2023 11:00	0	414
20/08/2023 11:15	0	415
20/08/2023 11:30	0	414
20/08/2023 11:45	0	415
20/08/2023 12:00	0	414
20/08/2023 12:15	0	424
20/08/2023 12:30	0	433
20/08/2023 12:45	0	428
20/08/2023 13:00	0	419
20/08/2023 13:15	0	418
20/08/2023 13:30	0	417
20/08/2023 13:45	0	417
20/08/2023 14:00	0	418
20/08/2023 14:15	0	417
20/08/2023 14:30	0	415
20/08/2023 14:45	0	415
20/08/2023 15:00	0	415
20/08/2023 15:15	0	414
20/08/2023 15:30	0	415
20/08/2023 15:45	0	415
20/08/2023 16:00	0	415
20/08/2023 16:15	0	414
20/08/2023 16:30	0	426
20/08/2023 16:45	0	430
20/08/2023 17:00	0	430
20/08/2023 17:15	0	416
20/08/2023 17:30	0	416
20/08/2023 17:45	0	415
20/08/2023 18:00	0	415
20/08/2023 18:15	0	415
20/08/2023 18:30	0	416
20/08/2023 18:45	0	415
20/08/2023 19:00	0	425
20/08/2023 19:15	0	417
20/08/2023 19:30	0	403
20/08/2023 19:45	0	379
20/08/2023 20:00	0	386
20/08/2023 20:15	0	393
20/08/2023 20:30	0	381
20/08/2023 20:45	0	387
20/08/2023 21:00	0	384
20/08/2023 21:15	0	388
20/08/2023 21:30	0	383
20/08/2023 21:45	0	384
20/08/2023 22:00	0	384
20/08/2023 22:15	0	388
20/08/2023 22:30	0	379
20/08/2023 22:45	0	383
20/08/2023 23:00	0	385
20/08/2023 23:15	0	386
20/08/2023 23:30	0	389
20/08/2023 23:45	0	391
21/08/2023 00:00	0	388
